sample_id,category,defect,severity,grade
89e051d7-f523-4017-9896-6a277b931099,jeans,none,0.0,A
50cecad5-716e-4586-9349-d07990ddd0a9,jeans,none,0.0,A
6845146b-b3c1-4ad9-a56a-b87217c3e2ae,jeans,none,0.0,A
b5ea440c-2c68-4490-9e48-e21744c30e17,jeans,none,0.0,A
153e6cbe-c866-4739-b536-2e6d36d9a064,jeans,none,0.0,A
16ba37e5-9f70-453c-a929-4a2b165d26d5,jeans,none,0.0,A
172cabd0-ee3e-4f68-8322-42a4e07816b7,jeans,none,0.0,A
dbe0a533-9d92-498d-bbe3-4d022d6b42a8,jeans,none,0.0,A
5268b11f-5934-4290-b01e-6862dd045007,jeans,none,0.0,A
26873966-2f2c-4024-9a53-e94f0c532af3,jeans,none,0.0,A
757016f4-a884-4f32-95ce-cf8b840cbe9e,jeans,none,0.0,A
5ed9a058-42ff-47fd-adcd-e65cc179ea7c,jeans,none,0.0,A
64681bbc-f4fc-4f34-bb7f-b3b90ff05592,jeans,none,0.0,A
1f6d31fd-617a-47de-ace6-c65298bb1fba,jeans,none,0.0,A
96e79402-ef2b-4389-a8ef-c78f4a87a993,jeans,none,0.0,A
09582363-4bf4-483e-ad8a-7fc953bcd30a,jeans,none,0.0,A
6c81007d-a99d-4a18-b708-4ac5ee74639b,jeans,none,0.0,A
731815d6-a106-4d09-bda6-e2d8f54bea08,jeans,none,0.0,A
2991039c-63c0-44c1-9e08-a06b60b7ccbc,jeans,none,0.0,A
4ae8e74a-cbb1-4d6d-b3a7-1a86874f6c29,jeans,none,0.0,A
3385a677-1b8f-42cd-9fdc-7ed6b5c89c7e,jeans,stain,0.744,D
5ebded9c-dd35-4ea7-b75c-9846af1c72b8,jeans,stain,0.406,C
b82d2b31-210d-42f4-9ebc-2405bcb4cb2c,jeans,stain,0.187,B
da696adb-3cc5-4ea5-8a65-3c6b463a1519,jeans,stain,0.976,D
63f5b05a-88f1-42de-ad6f-ecb07ba8a428,jeans,stain,0.734,D
9bc8f7bc-7d00-43f4-82cf-c5d0d2c0b5b5,jeans,stain,0.442,C
4b41e6be-6a0b-4af7-8243-a282c870cbc2,jeans,stain,0.703,D
b11997f8-57f7-4377-8ea2-9c6c6c7d2403,jeans,stain,0.442,C
38844845-8a56-4b43-9c86-9fc934cbf486,jeans,stain,0.825,D
c57856f0-17dc-48a3-a1bf-2e4671e99099,jeans,stain,0.69,C
f41ee795-b8d2-4406-ac3d-eb39bf2df5f1,jeans,stain,0.322,B
6da623df-879d-4b46-8494-98d11ee59c3b,jeans,stain,0.297,B
58e1868e-bf25-48b0-a958-f6179f28c18c,jeans,stain,0.665,C
90ad4aaa-f2ef-4472-8080-bc247c8d5420,jeans,stain,0.974,D
dbdf0273-f187-43f8-9205-4d305397721d,jeans,stain,0.792,D
bbdb4c49-7efb-43ed-a420-245532bb3cea,jeans,stain,0.975,D
47bdfa77-ce51-43dd-8bde-2a9a669f768f,jeans,stain,0.279,B
6cf7e64c-3e6a-49ef-b454-0fc4549a1636,jeans,stain,0.392,B
117c56c9-70c1-4633-87a4-25c78d2975ee,jeans,stain,0.317,B
325bb0cf-c384-4243-9d42-efbe52bd1ae0,jeans,stain,0.216,B
448e3bf1-ace4-4cba-8b47-7e222fc8ea8f,jeans,stain,0.968,D
e64daa1c-24f2-4633-b371-f05f0527befa,jeans,stain,0.494,C
62351a73-e9c6-4b1d-ae86-983600042bd1,jeans,stain,0.599,C
32282d91-e7ec-491f-848f-be5e04a6074e,jeans,stain,0.915,D
2aa1c92c-e742-4bdd-a7ac-7c6d0c048341,jeans,stain,0.219,B
d378564f-1d08-4ab8-afe3-00c78cc5ddd0,jeans,stain,0.187,B
0339666c-825d-4bdc-b80e-dd5d4bcb13ab,jeans,stain,0.155,B
35eb8ed8-a612-48ff-9680-651e39b02034,jeans,stain,0.504,C
cf377754-73a1-4c58-87cd-f418d2938a2a,jeans,stain,0.188,B
2c2ea393-723a-42f6-a918-5543522813f1,jeans,stain,0.537,C
c80d937e-da28-4bc2-89c1-4b55e01dd951,jeans,stain,0.987,D
6def4c26-09b8-4eba-a07c-9b52b301f6b7,jeans,stain,0.696,C
871d1240-5096-40b1-931c-12ca0bd4decf,jeans,stain,0.155,B
7916540c-a01f-4ce2-8aec-7c7d41c1f16d,jeans,stain,0.151,B
80e808a6-d1b9-4b10-b3a5-b5ea047df1ac,jeans,stain,0.208,B
989cfd32-2353-4c28-a552-5d0b34e33b13,jeans,stain,0.609,C
4150b4b0-62e2-45a4-9845-c2ff5c30369f,jeans,stain,0.456,C
aaa46eab-f587-4352-89d4-9ea35d4e18ae,jeans,stain,0.659,C
1cd6af31-1d49-49de-a340-33c6605eb0cc,jeans,stain,0.893,D
398e4dbd-3880-4a63-a608-68f7be442265,jeans,stain,0.985,D
c29830c5-4aac-45d4-a360-7c6633a63227,jeans,dirt,0.945,D
3b5af9b1-bb4f-4b73-868b-0c0f73e6e605,jeans,dirt,0.354,B
1a96356a-dbdf-40d8-9320-d27a1395d43e,jeans,dirt,0.326,B
cb701f4f-56a1-4fd6-98f5-cf41b5ea2a89,jeans,dirt,0.4,C
95377f95-9669-43ab-a04d-0e1fe18f3428,jeans,dirt,0.605,C
307e930d-eef8-4aca-84af-9c008330c670,jeans,dirt,0.851,D
c5a47d79-de79-4b2a-83a4-eadef0ac443b,jeans,dirt,0.289,B
4d600b8c-282f-48f2-801a-05a572204f5e,jeans,dirt,0.775,D
720bd08e-c9a8-4f9b-a91a-f02990a08809,jeans,dirt,0.261,B
0e81b937-205e-4138-a5cd-99c95bcde779,jeans,dirt,0.809,D
0cd7d0d9-7790-47a1-92b1-fb0a2e559113,jeans,dirt,0.835,D
d53bb69a-c257-4f0a-a205-6a9fe5183d7d,jeans,dirt,0.694,C
208dca58-9197-4450-b476-6e32e7c99390,jeans,dirt,0.46,C
284f575a-6be5-407a-8b1a-e00a0db5aa96,jeans,dirt,0.966,D
04bcf04b-ee4e-442b-a6f7-a518e9a1fd49,jeans,dirt,0.646,C
ae48d47b-dd8f-49f8-b819-fbbaa89d8072,jeans,dirt,0.102,B
ad839150-48d9-49f4-a703-457c9b737fbc,jeans,dirt,0.383,B
40a5cc4d-b645-4c8c-87fd-5d402a937a37,jeans,dirt,0.462,C
71292e86-153a-4281-8bb9-c5e75d3321c3,jeans,dirt,0.612,C
56d36282-a32b-4c1d-8a9a-460fb1b49112,jeans,dirt,0.807,D
3a822f99-82f5-4a13-ba17-546e80383ab1,jeans,dirt,0.814,D
ab78ee5a-b9c0-45ca-8937-eb9070223775,jeans,dirt,0.706,D
00b49bc3-a694-482d-a045-2e2cad8e5df1,jeans,dirt,0.65,C
f9762710-38e3-4c0c-acbb-bfa15131c2b7,jeans,dirt,0.545,C
a8dfa531-2355-4302-b39a-5800c4d84bb5,jeans,dirt,0.258,B
b0ebab30-95a4-45c8-8fa3-bc69f4266df6,jeans,dirt,0.821,D
8aa08457-84dd-4157-9c0b-16c767b5bab7,jeans,dirt,0.484,C
fe4b9a65-0541-4c01-80b8-04dc0d5c78e9,jeans,dirt,0.777,D
b8a9d661-28d1-4737-bf46-9088f1432e7f,jeans,dirt,0.17,B
97e2ea06-77f0-470a-b0bc-944609052c55,jeans,dirt,0.236,B
cf2e972d-e655-4d70-861f-727a0b5b4fab,jeans,dirt,0.398,B
bf2aac4e-27f3-4abc-ac40-e62503e4f72b,jeans,dirt,0.951,D
a37a2d1c-995a-4643-92ee-e5e24f628aa2,jeans,dirt,0.948,D
4f5de1ba-82b4-4a0b-bb15-a8770e1f916f,jeans,dirt,0.584,C
2d5b5695-6bb1-4bbf-9977-6c768c9e5c3d,jeans,dirt,0.403,C
434578cc-3717-4681-b742-ff1e9c0e522f,jeans,dirt,0.916,D
eada6913-2569-4469-840f-c32fe057e4bc,jeans,dirt,0.334,B
5c02820f-5432-46fa-93c7-ac1b2c38b8db,jeans,dirt,0.327,B
b6dcbb96-a5d4-4298-af0d-0f0517286e51,jeans,dirt,0.685,C
9a506340-3f7a-4e37-a546-959feea8f3b9,jeans,dirt,0.237,B
cb2892d0-e264-482a-a73e-d3cd3e2b2008,jeans,tear,0.79,D
0926f807-b4f8-405f-87dc-07d373fc3a41,jeans,tear,0.197,B
376f6a1d-4734-4f7b-96b2-c01df80f6635,jeans,tear,0.168,B
78cce8ab-bc7c-4111-bba2-d0e76d3dfbce,jeans,tear,0.817,D
1eaa9b30-5777-4947-b904-e9eb6b8233de,jeans,tear,0.683,C
e6276962-6cdb-4c35-96c1-6cfe69d9b4fb,jeans,tear,0.672,C
07a6e86d-5b0f-4ddf-b377-487553c974be,jeans,tear,0.827,D
09440226-9b39-4710-b9b1-6d211bacac28,jeans,tear,0.848,D
a23dacd5-4435-4201-a9bf-16638c321330,jeans,tear,0.701,D
2f097727-e80d-4636-a236-88ff69460d47,jeans,tear,0.419,C
a2102a2f-0854-4e51-ac2c-1c2b9ed32462,jeans,tear,0.565,C
f58afc3b-6438-4c10-88a8-d602741834e2,jeans,tear,0.722,D
2480f11a-b9a0-48b0-9e52-8f16d7443802,jeans,tear,0.723,D
f9c12e42-cd75-4a0c-9a98-5e75d23cce2a,jeans,tear,0.997,D
f0c1dec8-f02f-4e4b-989a-2927ff670319,jeans,tear,0.209,B
5164d6ce-42a6-455e-9ea4-74184f20222e,jeans,tear,0.765,D
